"","copy_col","reviewer","title","flat_title","first_release_year","all_release_year","platform","flat_platform","uv_index","uv_title","uv_raw_title","uv_first_release_year","uv_publisher","uv_developer","uv_platform","gb_index","gb_title","gb_raw_title","gb_first_release_year","gb_platform","is_duplicate","is_sampled","target_platform"
"816","Freddy Hardest in South Manhattan----1987----MSX","Sam","Freddy Hardest in South Manhattan","freddy hardest in south manhattan",1987,"1987----1989----1990","AMI----Amiga----Amstrad CPC----AST----Atari ST----C64----CPC----MSX----PC----SPEC----ZX Spectrum","ami----amiga----amstrad cpc----ast----atari st----c64----cpc----msx----pc----spec----zx spectrum",23586,"Freddy Hardest in South Manhattan","Freddy Hardest in South Manhattan----Freddy Hardest in South Manhattan (Freddy Hardest 2)----Freddy Hardest in South Manhattan (Freddy Hardest en Manhattan Sur;The Guardian Angel)----Freddy Hardest in South Manhattan (The Guardian Angel)",1987,"Codemasters----Codesmasters----Dinamic----Iron Byte","Dinamic----Iron Byte","Amiga----Amstrad CPC----Atari ST----C64----ZX Spectrum",15216,"Freddy Hardest in South Manhattan","Freddy Hardest in South Manhattan",1989,"AMI----AST----C64----CPC----MSX----PC----SPEC",FALSE,TRUE,"MSX"
"817","Western Games----1987----Amstrad CPC","Brian","Western Games","western games",1987,"1987","AMI----Amiga----Amstrad CPC----AST----Atari ST----C64----CPC","ami----amiga----amstrad cpc----ast----atari st----c64----cpc",68786,"Western Games","Western Games",1987,"Magic Bytes----Micro-Partner","reLINE Software","Amiga----Amstrad CPC----Atari ST----C64",44555,"Western Games","Western Games",NA,"AMI----AST----C64----CPC",FALSE,TRUE,"Amstrad CPC"
"818","Little Princess----1987----Wii","Kameron","Little Princess","little princess",1987,"1987----2010","MSX----MSX2----Wii","msx----msx2----wii",35355,"Little Princess","Little Princess----Little Princess (<U+6469><U+8A36><U+4E0D><U+601D><U+8B70><U+30A2><U+30C9><U+30D9><U+30F3><U+30C1><U+30E3><U+30FC>Little PRINCESS)",1987,"Champion Soft","Frima Studios","MSX2----Wii",22581,"Little Princess","Little Princess",NA,"MSX",FALSE,TRUE,"Wii"
"819","Pulsoid----1987----Amstrad CPC","Kate","Pulsoid","pulsoid",1987,"1987----1988","Amstrad CPC----C64----ZX Spectrum","amstrad cpc----c64----zx spectrum",48141,"Pulsoid","Pulsoid----Pulsoid (Pulsoids)",1987,"Mastertronic","Silhouette Software","Amstrad CPC----C64----ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"Amstrad CPC"
"820","Cruise Missile----1987----Atari 2600","Sam","Cruise Missile","cruise missile",1987,"1987","Atari 2600","atari 2600",14624,"Cruise Missile","Cruise Missile",1987,"Froggo----Zellers","Froggo","Atari 2600",NA,NA,NA,NA,NA,FALSE,TRUE,"Atari 2600"
"821","Family Trainer: Totsugeki! Fuuun Takeshi Shiro----1987----NES","Brian","Family Trainer: Totsugeki! Fuuun Takeshi Shiro","family trainer: totsugeki! fuuun takeshi shiro",1987,"1987","NES","nes",21781,"Family Trainer: Totsugeki! Fuuun Takeshi Shiro","Family Trainer: Totsugeki! Fuuun Takeshi Shiro (Family Trainer Series 8: Totsugeki! Fuuun Takeshi Shiro;Most Extreme Elimination Challenge;MXC;Humor Amarillo;<U+30D5><U+30A1><U+30DF><U+30EA><U+30FC><U+30C8><U+30EC><U+30FC><U+30CA><U+30FC><U+2467> <U+7A81><U+6483>!<U+98A8><U+96F2><U+305F><U+3051><U+3057><U+57CE>;Takeshi's Castle)",1987,"Bandai","Human Entertainment","NES",NA,NA,NA,NA,NA,FALSE,TRUE,"NES"
"822","The Ninja Warriors----1987----Amiga","Kameron","The Ninja Warriors","the ninja warriors",1987,"1987----1988----1989----1990----1993----1994","AMI----Amiga----Amstrad CPC----ARC----Arcade----AST----Atari ST----C64----CPC----PCE / TurboGrafx----SCD----Sega-CD / Mega-CD----SNES----SPEC----TG16----WSHP----ZX Spectrum","ami----amiga----amstrad cpc----arc----arcade----ast----atari st----c64----cpc----pce / turbografx----scd----sega-cd / mega-cd----snes----spec----tg16----wshp----zx spectrum",62997,"The Ninja Warriors","The Ninja Warriors----The Ninja Warriors (<U+30CB><U+30F3><U+30B8><U+30E3><U+30A6><U+30A9><U+30FC><U+30EA><U+30A2><U+30FC><U+30BA>)----The Ninja Warriors (<U+30CB><U+30F3><U+30B8><U+30E3><U+30A6><U+30A9><U+30FC><U+30EA><U+30A2><U+30FC><U+30BA>;The Ninja Warrior Again)----The Ninja Warriors (The Ninja Warriors Again;<U+30B6>·<U+30CB><U+30F3><U+30B8><U+30E3><U+30A6><U+30A9><U+30FC><U+30EA><U+30A2><U+30FC><U+30BA><U+30A2><U+30B2><U+30A4><U+30F3>;The NinjaWarriors)",1988,"Natsume----Sales Curve----Taito----Virgin----Virgin Games","Natsume----Random Access----Romstar----Taito","Amiga----Amstrad CPC----Arcade----Atari ST----C64----PCE / TurboGrafx----Sega-CD / Mega-CD----SNES----ZX Spectrum",40642,"The Ninja Warriors","The Ninja Warriors",1987,"AMI----ARC----AST----C64----CPC----SCD----SPEC----TG16----WSHP",FALSE,TRUE,"Amiga"
"823","Goldrunner----1987----Amiga","Kate","Goldrunner","goldrunner",1987,"1987","Amiga----Atari ST----C64","amiga----atari st----c64",25919,"Goldrunner","Goldrunner----Goldrunner (Gold Runner)",1987,"author----Michtron----Microdeal",NA,"Amiga----Atari ST----C64",NA,NA,NA,NA,NA,FALSE,TRUE,"Amiga"
"824","Mr. Gold: Kinsan in the Space----1988----FDS","Sam","Mr. Gold: Kinsan in the Space","mr. gold: kinsan in the space",1988,"1988","FDS","fds",NA,NA,NA,NA,NA,NA,NA,25897,"Mr. Gold: Kinsan in the Space","Mr. Gold - Kinsan in the Space",1988,"FDS",FALSE,TRUE,"FDS"
"825","Geo----1988----Atari 8-bit","Brian","Geo","geo",1988,"1988","Atari 8-bit","atari 8-bit",25108,"Geo","Geo",1988,"Raindorfsoft",NA,"Atari 8-bit",NA,NA,NA,NA,NA,FALSE,TRUE,"Atari 8-bit"
"826","Mad City----1988----NES","Kameron","Mad City","mad city",1988,"1988","NES","nes",36289,"Mad City","Mad City (The Adventures of Bayou Billy;<U+30DE><U+30C3><U+30C9><U+2027><U+30B7><U+30C6><U+30A3>)",1988,"Konami","Konami","NES",NA,NA,NA,NA,NA,FALSE,TRUE,"NES"
"827","First Queen----1988----X68000","Kate","First Queen","first queen",1988,"1988----1993","PC----PC-9801----PC98----SNES----X68000----X68K","pc----pc-9801----pc98----snes----x68000----x68k",22690,"First Queen","First Queen (<U+30D5><U+30A1><U+30FC><U+30B9><U+30C8><U+30AF><U+30A4><U+30FC><U+30F3>)----First Queen (<U+30D5><U+30A1><U+30FC><U+30B9><U+30C8><U+30AF><U+30A4><U+30FC><U+30F3>;First Queen: Ornic Senki)",1988,"Culture Brain","Kure Software Koubou","PC-9801----SNES----X68000",14671,"First Queen","First Queen",1988,"PC----PC98----SNES----X68K",FALSE,TRUE,"X68000"
"828","Sherlock Holmes in The Case of the Beheaded Smuggler----1988----ZX Spectrum","Sam","Sherlock Holmes in The Case of the Beheaded Smuggler","sherlock holmes in the case of the beheaded smuggler",1988,"1988","ZX Spectrum","zx spectrum",53590,"Sherlock Holmes in The Case of the Beheaded Smuggler","Sherlock Holmes in The Case of the Beheaded Smuggler (The Case of the Beheaded Smuggler)",1988,"Mental Images","author","ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"ZX Spectrum"
"829","Uchi-Mata 2----1988----ZX Spectrum","Brian","Uchi-Mata 2","uchi-mata 2",1988,"1988","ZX Spectrum","zx spectrum",66488,"Uchi-Mata 2","Uchi-Mata 2",1988,"Martech",NA,"ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"ZX Spectrum"
"830","For Gold or Glory----1988----Amstrad CPC","Kameron","For Gold or Glory","for gold or glory",1988,"1988","Amstrad CPC----ZX Spectrum","amstrad cpc----zx spectrum",23265,"For Gold or Glory","For Gold or Glory----For Gold or Glory (Gold or Glory)",1988,"Alternative Software",NA,"Amstrad CPC----ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"Amstrad CPC"
"831","Maison Ikkoku: Kanketsu Special----1988----X68K","Kate","Maison Ikkoku: Kanketsu Special","maison ikkoku: kanketsu special",1988,"1988","X68000----X68K","x68000----x68k",36971,"Maison Ikkoku: Kanketsu Special","Maison Ikkoku: Kanketsu Special (<U+3081><U+305E><U+3093><U+4E00><U+523B><U+5B8C><U+7D50><U+30B9><U+30DA><U+30B7><U+30E3><U+30EB>)",1988,"Micro Cabin","Micro Cabin","X68000",23492,"Maison Ikkoku Kanketsu Special","Maison Ikkoku Kanketsu Special",NA,"X68K",FALSE,TRUE,"X68K"
